Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	o__Actinomycetales (UID1663)	488	310	185	83.15	6.27	10.00	7911921	0	963	963	10292	10292	8215	8215	50263	50263	69.4	2.10	88.71	11	7821	69	221	20	0	0	0
bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	282223	0	41	41	8712	8712	6883	6883	36043	36043	63.6	1.26	81.64	11	349	56	0	0	0	0	0
bin.11	o__Cytophagales (UID2936)	47	454	336	87.66	5.51	43.48	4798783	0	428	428	16026	16026	11212	11212	170260	170260	63.5	2.29	87.42	11	4410	75	362	14	3	0	0
bin.12	k__Bacteria (UID203)	5449	104	58	51.72	0.00	0.00	758001	0	4	4	532329	532329	189500	189500	532329	532329	43.9	0.48	86.11	11	662	71	33	0	0	0	0
bin.13	p__Bacteroidetes (UID2605)	350	316	210	96.67	0.95	0.00	3715918	0	53	53	98096	98096	70111	70111	246052	246052	45.9	1.49	88.26	11	3448	7	307	2	0	0	0
bin.14	o__Sphingomonadales (UID3310)	26	569	293	87.18	8.39	31.37	5346867	0	791	791	8217	8217	6759	6759	47198	47198	67.1	2.98	88.22	11	6030	78	453	33	4	1	0
bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	1581910	0	90	90	27553	27553	17576	17576	64656	64656	67.7	2.31	82.42	11	1691	56	0	0	0	0	0
bin.16	root (UID1)	5656	56	24	0.00	0.00	0.00	314111	0	42	42	7875	7875	7478	7478	42217	42217	65.6	1.57	85.78	11	398	56	0	0	0	0	0
bin.17	o__Actinomycetales (UID1815)	120	573	265	64.60	3.50	38.71	4029030	0	855	855	4850	4850	4712	4712	41186	41186	67.9	1.79	90.98	11	4637	193	351	28	1	0	0
bin.18	p__Bacteroidetes (UID2605)	350	316	210	98.10	1.67	0.00	4566559	0	72	72	109432	109432	63424	63424	370274	370274	42.9	1.21	89.41	11	4320	4	308	4	0	0	0
bin.19	o__Rhizobiales (UID3654)	92	481	319	71.04	36.01	29.27	6606911	0	1646	1646	3947	3947	4013	4013	20909	20909	70.7	2.20	87.67	11	7709	144	201	109	22	5	0
bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	312431	0	59	59	5540	5540	5295	5295	16148	16148	38.0	2.57	9.87	11	169	56	0	0	0	0	0
bin.20	k__Bacteria (UID203)	5449	104	58	1.72	0.00	0.00	574523	0	67	67	9648	9648	8574	8574	75012	75012	50.7	1.04	78.28	4	1006	103	1	0	0	0	0
bin.21	o__Burkholderiales (UID4000)	193	427	214	78.29	2.63	25.00	3164125	0	538	538	6571	6571	5881	5881	24947	24947	69.5	2.24	94.93	11	3421	102	317	8	0	0	0
bin.22	o__Rhizobiales (UID3654)	92	481	319	97.84	2.35	50.00	5788019	0	270	270	40180	40180	21437	21437	165756	165756	69.5	2.16	85.43	11	5713	22	451	8	0	0	0
bin.23	root (UID1)	5656	56	24	0.00	0.00	0.00	227045	0	50	50	4949	4949	4540	4540	12556	12556	41.8	1.72	87.25	11	217	56	0	0	0	0	0
bin.24	k__Archaea (UID2)	207	149	107	52.65	107.79	24.45	126813081	0	14465	14465	11625	11625	8766	8766	91892	91892	50.3	1.47	64.05	11	270512	62	17	25	17	8	20
bin.25	o__Cytophagales (UID2936)	47	454	336	97.62	0.06	100.00	6361604	0	102	102	93973	93973	62368	62368	578837	578837	50.3	1.66	88.72	11	5427	10	440	4	0	0	0
bin.26	o__Actinomycetales (UID1663)	488	309	185	93.96	2.08	25.00	3317318	0	257	257	19008	19008	12907	12907	67981	67981	69.4	1.31	92.27	11	3333	14	287	8	0	0	0
bin.27	root (UID1)	5656	56	24	0.00	0.00	0.00	398118	0	13	13	37404	37404	30624	30624	66234	66234	48.6	1.39	79.30	11	409	56	0	0	0	0	0
bin.28	o__Actinomycetales (UID1590)	562	286	170	94.12	1.47	25.00	5739210	0	145	145	61813	61813	39580	39580	206517	206517	71.5	1.18	90.71	11	5234	20	262	4	0	0	0
bin.29	root (UID1)	5656	56	24	0.00	0.00	0.00	296064	0	26	26	16342	16342	11387	11387	57859	57859	49.6	0.91	52.57	11	474	56	0	0	0	0	0
bin.3	root (UID1)	5656	56	24	0.00	0.00	0.00	933376	0	101	101	12906	12906	9241	9241	41741	41741	64.9	1.79	84.33	11	1098	56	0	0	0	0	0
bin.30	k__Bacteria (UID203)	5449	104	58	38.79	0.00	0.00	1963618	0	486	486	3968	3968	4040	4040	17270	17270	70.0	1.90	92.58	11	2276	77	27	0	0	0	0
bin.31	k__Bacteria (UID203)	5449	104	58	26.72	3.45	66.67	1937642	0	552	552	3353	3353	3510	3510	11281	11281	69.4	1.93	90.01	11	2215	82	19	3	0	0	0
bin.32	k__Bacteria (UID2982)	88	230	148	27.83	0.00	0.00	452761	0	2	2	248533	248533	226380	226380	248533	248533	46.6	0.36	87.89	11	387	136	94	0	0	0	0
bin.33	root (UID1)	5656	56	24	0.00	0.00	0.00	279430	0	65	65	4384	4384	4298	4298	8604	8604	46.5	1.15	53.68	11	383	56	0	0	0	0	0
bin.34	root (UID1)	5656	56	24	4.17	0.00	0.00	378960	0	28	28	21160	21160	13534	13534	58898	58898	50.0	0.97	55.50	11	663	55	1	0	0	0	0
bin.35	o__Actinomycetales (UID1697)	387	330	193	82.00	26.38	30.26	5538070	0	1177	1177	4910	4910	4705	4705	42722	42722	72.7	2.39	89.21	11	6257	87	179	58	6	0	0
bin.36	k__Archaea (UID2)	207	149	107	18.21	13.70	15.15	32944070	0	8476	8476	3868	3868	3886	3886	16557	16557	49.7	1.59	61.99	11	74419	117	15	9	8	0	0
bin.37	root (UID1)	5656	56	24	0.00	0.00	0.00	247984	0	15	15	19728	19728	16532	16532	34057	34057	40.0	0.91	91.93	11	284	56	0	0	0	0	0
bin.38	root (UID1)	5656	56	24	0.00	0.00	0.00	232922	0	10	10	37956	37956	23292	23292	92437	92437	46.3	0.80	38.94	11	258	56	0	0	0	0	0
bin.39	k__Archaea (UID2)	207	149	107	0.93	0.00	0.00	250979	0	1	1	250979	250979	250979	250979	250979	250979	58.5	0.00	78.86	4	232	148	1	0	0	0	0
bin.4	k__Bacteria (UID203)	5449	104	58	55.80	0.00	0.00	2030020	0	427	427	4839	4839	4754	4754	17753	17753	69.9	2.17	91.47	11	2240	62	42	0	0	0	0
bin.40	k__Bacteria (UID203)	5449	104	58	27.68	9.26	0.00	20180701	0	1161	1161	25299	25299	17382	17382	148097	148097	52.1	1.26	84.15	4	28330	56	26	12	10	0	0
bin.5	root (UID1)	5656	56	24	0.00	0.00	0.00	318489	0	70	70	4395	4395	4549	4549	14290	14290	38.6	1.82	6.63	11	129	56	0	0	0	0	0
bin.6	root (UID1)	5656	56	24	0.00	0.00	0.00	246964	0	25	25	13235	13235	9878	9878	46768	46768	48.9	0.86	58.48	11	356	56	0	0	0	0	0
bin.7	o__Cytophagales (UID2936)	47	454	336	96.08	55.83	42.74	9412987	0	831	831	18550	18550	11327	11327	129949	129949	62.2	2.96	85.21	11	8773	39	197	208	9	1	0
bin.8	k__Archaea (UID2)	207	149	107	9.40	0.93	0.00	5215803	0	1201	1201	4403	4403	4342	4342	15284	15284	48.9	1.19	81.12	4	8311	129	18	2	0	0	0
bin.9	k__Bacteria (UID203)	5449	104	58	27.59	0.00	0.00	730255	0	199	199	3688	3688	3669	3669	8509	8509	55.7	1.52	90.44	11	793	86	18	0	0	0	0
