Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Bacteria (UID203)	5449	104	58	5.50	0.00	0.00	4471489	0	624	624	9367	9367	7165	7165	107516	107516	66.6	2.18	83.79	11	5088	97	7	0	0	0	0
bin.10	o__Rhodospirillales (UID3754)	63	336	201	92.64	2.99	14.29	5657879	0	188	188	53752	53752	30095	30095	220326	220326	66.9	1.91	92.04	11	5577	22	307	7	0	0	0
bin.11	root (UID1)	5656	56	24	0.00	0.00	0.00	1079881	0	141	141	8722	8722	7658	7658	28725	28725	50.4	1.24	79.24	4	1623	56	0	0	0	0	0
bin.12	k__Archaea (UID2)	207	149	107	2.37	0.00	0.00	1028731	0	4	4	290265	290265	257182	257182	454304	454304	51.9	0.29	81.97	4	1344	139	10	0	0	0	0
bin.13	c__Alphaproteobacteria (UID3422)	26	529	308	75.63	4.29	34.78	2511472	0	342	342	8583	8583	7343	7343	55717	55717	72.8	2.41	91.54	11	2629	117	389	23	0	0	0
bin.14	c__Alphaproteobacteria (UID3422)	26	529	308	95.38	5.08	36.00	2872172	0	132	132	35259	35259	21758	21758	132714	132714	73.0	1.75	91.50	11	2786	59	445	25	0	0	0
bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	251602	0	59	59	4392	4392	4264	4264	12937	12937	40.1	1.77	8.77	11	145	56	0	0	0	0	0
bin.16	o__Rhodospirillales (UID3754)	63	336	201	95.47	19.24	16.39	10054737	0	1093	1093	13531	13531	9199	9199	114622	114622	64.7	2.67	88.01	11	11006	24	257	52	3	0	0
bin.17	k__Bacteria (UID1452)	924	161	108	94.60	35.13	86.96	5914186	0	215	215	49244	49244	27507	27507	157253	157253	61.4	1.46	90.69	11	5941	7	108	46	0	0	0
bin.18	o__Sphingomonadales (UID3310)	26	569	293	88.91	2.24	27.78	2669031	0	136	136	29742	29742	19625	19625	104358	104358	68.6	1.42	92.55	11	2631	76	475	18	0	0	0
bin.19	o__Rhizobiales (UID3654)	92	481	319	95.56	14.47	43.08	4915027	0	276	276	25575	25575	17808	17808	94304	94304	71.8	1.82	88.86	11	4732	22	398	59	2	0	0
bin.2	root (UID1)	5656	56	24	0.00	0.00	0.00	242666	0	11	11	24906	24906	22060	22060	55785	55785	47.6	0.75	55.89	11	344	56	0	0	0	0	0
bin.20	k__Bacteria (UID203)	5449	104	58	95.38	17.08	55.88	3974082	0	191	191	31347	31347	20806	20806	148476	148476	70.2	3.27	87.69	11	4020	5	67	31	1	0	0
