Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Archaea (UID2)	207	149	107	28.31	9.33	0.00	59369835	0	1796	1796	53632	53632	33056	33056	293819	293819	49.6	1.03	85.60	4	102184	99	37	10	3	0	0
bin.10	o__Sphingomonadales (UID3310)	26	569	293	69.12	2.92	50.00	2576733	0	248	248	15956	15956	10390	10390	54554	54554	68.9	1.95	89.30	11	2759	176	379	14	0	0	0
bin.11	k__Bacteria (UID203)	5449	103	57	90.72	171.91	29.37	14677082	0	2422	2422	6934	6934	6059	6059	94815	94815	70.4	2.36	87.44	11	15947	18	18	27	16	17	7
bin.12	k__Bacteria (UID203)	5449	104	58	36.21	0.00	0.00	1976608	0	341	341	6330	6330	5796	5796	23572	23572	45.4	1.91	88.63	11	2239	80	24	0	0	0	0
bin.13	k__Bacteria (UID203)	5449	104	58	24.14	0.00	0.00	1561896	0	437	437	3419	3419	3574	3574	10651	10651	69.5	2.13	87.88	11	1795	88	16	0	0	0	0
bin.14	k__Bacteria (UID203)	5449	104	58	94.83	73.12	15.12	6687059	0	1567	1567	4259	4259	4267	4267	32726	32726	72.0	2.17	89.62	11	7670	3	43	44	14	0	0
bin.15	o__Sphingomonadales (UID3310)	26	569	293	61.82	8.77	78.43	2832436	0	559	559	5451	5451	5066	5066	36311	36311	70.1	2.36	91.03	11	3173	234	288	45	2	0	0
bin.16	k__Bacteria (UID203)	5449	104	58	32.76	0.00	0.00	1477259	0	310	310	4977	4977	4765	4765	16952	16952	46.1	2.12	89.16	11	1624	79	25	0	0	0	0
bin.17	k__Bacteria (UID203)	5449	104	58	52.90	0.00	0.00	3752970	0	389	389	12462	12462	9647	9647	43722	43722	72.7	1.22	92.78	11	3937	62	42	0	0	0	0
bin.18	o__Lactobacillales (UID544)	293	475	267	67.36	0.75	0.00	982073	0	137	137	8540	8540	7168	7168	26593	26593	41.2	1.47	89.80	11	1054	167	305	3	0	0	0
bin.19	root (UID1)	5656	56	24	0.00	0.00	0.00	290899	0	27	27	12152	12152	10774	10774	59725	59725	48.5	1.19	41.79	11	295	56	0	0	0	0	0
bin.2	o__Sphingomonadales (UID3310)	26	569	293	71.12	15.54	23.66	8961279	0	1652	1652	5773	5773	5424	5424	49470	49470	64.4	2.35	85.93	11	10444	182	334	42	8	2	1
bin.20	k__Bacteria (UID203)	5449	104	58	0.16	0.00	0.00	302435	0	19	19	18639	18639	15917	15917	50313	50313	48.3	1.10	57.34	11	402	103	1	0	0	0	0
