Orthogroup	GTX0468.bin.53.proteins	Other
OG0000099	GTX0468b53_007106-T1, GTX0468b53_013028-T1, GTX0468b53_007107-T1, GTX0468b53_010754-T1, GTX0468b53_013891-T1	jgi|Chleu1|453|rna-CEUSTIGMA_g2409.t1
OG0000149	GTX0468b53_008740-T1, GTX0468b53_013586-T1, GTX0468b53_003315-T1, GTX0468b53_000062-T1	jgi|Chleu1|8007|rna-CEUSTIGMA_g6397.t1, jgi|Chleu1|8008|rna-CEUSTIGMA_g6398.t1
OG0000381	GTX0468b53_013650-T1	GTX0465b1_008512-T1
OG0000405	GTX0468b53_005209-T1	jgi|Chleu1|5051|rna-CEUSTIGMA_g4343.t1
OG0000495	GTX0468b53_006894-T1	jgi|Volca2_1|5644|Vocar.0002s0407.1
OG0000520	GTX0468b53_004886-T1	jgi|ChlNC64A_1|138104|IGS.gm_2_00571
OG0000549	GTX0468b53_000443-T1	jgi|Chloso1228_1|7560|CSI_122800001903-RA
OG0000549	GTX0468b53_000443-T1	jgi|ChlNC64A_1|145396|IGS.gm_9_00203
OG0000597	GTX0468b53_011587-T1	jgi|ChlNC64A_1|135455|IGS.gm_133_00001
OG0000637	GTX0468b53_004374-T1	jgi|Auxeprot1|4879|XM_011403963.1
OG0000637	GTX0468b53_012254-T1	jgi|Botrbrau1|5427|Bobra.182_1s0029.1
OG0000637	GTX0468b53_012254-T1	jgi|Chabra1|329640|rna-CBR_g17821
OG0000637	GTX0468b53_012254-T1	jgi|Auxeprot1|4879|XM_011403963.1
OG0000637	GTX0468b53_012254-T1	jgi|Auxeprot1|4879|XM_011403963.1
OG0000637	GTX0468b53_012254-T1	jgi|Chleu1|10559|rna-CEUSTIGMA_g8259.t1
OG0000749	GTX0468b53_003128-T1	jgi|ChlNC64A_1|22093|e_gw1.7.304.1
OG0000856	GTX0468b53_001554-T1, GTX0468b53_011737-T1	GTX0465b1_006586-T1
OG0000951	GTX0468b53_001801-T1	jgi|ChlNC64A_1|51898|fgenesh3_pg.C_scaffold_8000185
OG0001110	GTX0468b53_011358-T1, GTX0468b53_011359-T1	jgi|Chleu1|1844|rna-CEUSTIGMA_g11701.t1
OG0001123	GTX0468b53_007635-T1	jgi|Chleu1|10861|rna-CEUSTIGMA_g1604.t1
OG0001123	GTX0468b53_007635-T1	jgi|Botrbrau1|4870|Bobra.0032s0026.1
OG0001141	GTX0468b53_008787-T1	jgi|Chleu1|8194|rna-CEUSTIGMA_g6561.t1
OG0001162	GTX0468b53_006142-T1	jgi|ChlNC64A_1|134096|IGS.gm_10_00387
OG0001162	GTX0468b53_005525-T1	jgi|Chleu1|2281|rna-CEUSTIGMA_g3118.t1
OG0001162	GTX0468b53_005525-T1	jgi|Chabra1|334630|rna-CBR_g25720
OG0001162	GTX0468b53_005525-T1	jgi|ChlNC64A_1|134096|IGS.gm_10_00387
OG0001162	GTX0468b53_005525-T1	jgi|ChlNC64A_1|134096|IGS.gm_10_00387
OG0001186	GTX0468b53_011739-T1, GTX0468b53_010142-T1	jgi|Chloso1228_1|3555|CSI_122800008691-RA
OG0001186	GTX0468b53_011739-T1, GTX0468b53_010142-T1	jgi|Ulvmu1|1268|UM109_0066.1
OG0001186	GTX0468b53_011739-T1, GTX0468b53_010142-T1	jgi|Astpho2|4956|Aster-06691
OG0001186	GTX0468b53_011739-T1	jgi|Chabra1|354339|rna-CBR_g472
OG0001186	GTX0468b53_011739-T1	jgi|Coc_C169_1|67932|estExt_Genemark1.C_200008
OG0001359	GTX0468b53_008603-T1	jgi|Chloso1228_1|8685|CSI_122800002603-RA
OG0001392	GTX0468b53_010918-T1, GTX0468b53_002919-T1	jgi|Chloso1228_1|11235|CSI_122800005600-RA
OG0001412	GTX0468b53_013083-T1, GTX0468b53_010699-T1	jgi|ChlNC64A_1|59481|estExt_fgenesh3_pg.C_840001
OG0001503	GTX0468b53_012289-T1	jgi|Volca2_1|13318|Vocar.0006s0013.1
OG0001526	GTX0468b53_000582-T1	jgi|ChlNC64A_1|34843|estExt_Genewise1Plus.C_60045
OG0001526	GTX0468b53_000582-T1	jgi|Chleu1|5918|rna-CEUSTIGMA_g13624.t1, jgi|Chleu1|3751|rna-CEUSTIGMA_g12844.t1
OG0001540	GTX0468b53_001763-T1	jgi|ChlNC64A_1|145127|IGS.gm_8_00455
OG0001540	GTX0468b53_001763-T1	jgi|Chloso1228_1|8384|CSI_122800011884-RA
