Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Bacteria (UID3187)	2258	188	117	94.02	3.42	0.00	4520355	0	74	74	103068	103068	61085	61085	253605	253605	62.1	1.15	89.04	11	4108	25	158	5	0	0	0
bin.10	root (UID1)	5656	56	24	12.50	0.00	0.00	346411	0	85	85	4306	4306	4075	4075	10755	10755	69.2	1.94	90.74	11	431	53	3	0	0	0	0
bin.11	o__Actinomycetales (UID1697)	387	330	193	11.57	0.00	0.00	1177760	0	333	333	3231	3231	3536	3536	115860	115860	71.9	2.02	89.45	11	1382	275	55	0	0	0	0
bin.12	o__Sphingomonadales (UID3310)	26	569	293	85.71	8.19	64.58	3004242	0	435	435	8182	8182	6906	6906	41944	41944	69.1	1.87	91.51	11	3336	98	429	39	3	0	0
bin.13	root (UID1)	5656	56	24	0.00	0.00	0.00	380652	0	25	25	22503	22503	15226	15226	87547	87547	66.4	1.31	84.09	11	423	56	0	0	0	0	0
bin.14	p__Bacteroidetes (UID2591)	364	303	203	98.77	0.99	33.33	3863089	0	95	95	58953	58953	40664	40664	171486	171486	58.6	1.05	88.20	11	3556	3	297	3	0	0	0
bin.15	p__Bacteroidetes (UID2591)	364	303	203	89.90	1.89	50.00	4944394	0	568	568	10334	10334	8704	8704	48180	48180	41.7	2.01	88.62	11	4346	28	269	6	0	0	0
bin.16	k__Bacteria (UID1453)	901	171	117	3.51	0.14	100.00	212224	0	34	34	6521	6521	6241	6241	25644	25644	34.7	1.84	42.05	11	235	155	15	1	0	0	0
bin.17	k__Bacteria (UID3187)	2258	188	117	95.67	4.27	0.00	4505694	0	34	34	258385	258385	132520	132520	601382	601382	50.0	1.87	88.66	11	4090	6	176	6	0	0	0
bin.18	root (UID1)	5656	56	24	0.00	0.00	0.00	512746	0	59	59	10004	10004	8690	8690	27320	27320	64.5	1.33	84.75	11	629	56	0	0	0	0	0
bin.19	o__Cytophagales (UID2936)	47	454	336	99.70	0.74	0.00	4452352	0	78	78	81028	81028	57081	57081	225810	225810	63.0	1.31	87.42	11	3927	1	449	4	0	0	0
bin.2	o__Cytophagales (UID2936)	47	454	336	98.81	2.18	12.50	6185814	0	96	96	96429	96429	64435	64435	221637	221637	50.9	1.58	89.08	11	5636	4	442	8	0	0	0
bin.20	root (UID1)	5656	56	24	0.00	0.00	0.00	218311	0	38	38	6680	6680	5745	5745	14648	14648	38.3	1.69	5.45	11	64	56	0	0	0	0	0
bin.21	k__Bacteria (UID2142)	169	316	236	90.86	29.17	76.67	4625709	0	638	638	9469	9469	7250	7250	41921	41921	64.6	1.97	86.81	11	5012	34	200	78	4	0	0
