bin	completeness	contamination	ncbi_lng
bin.22.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578
bin.15.fa	0.0	0.0	1-131567-2759-554915-2605435-142796
bin.9.fa	14.6	3.6	1-131567-2759-2698737-33634-2696291-5747-425074-425072
bin.44.fa	8.43	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-704141-64705
bin.2.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.6.fa	0.0	0.0	1-131567-2759-554915-2605435-142796
bin.27.fa	9.52	1.59	1-131567-2759-2611341-207245-5738-5739-68460
bin.42.fa	17.8	10.4	1-131567-2759-2698737-33634-2696291-5747-425074-425072
bin.25.fa	14.46	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.3.fa	10.84	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.30.fa	15.4	6.4	1-131567-2759-2611341-5719-37104-181550
bin.46.fa	3.11	0.62	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.63.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.24.fa	97.37	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.53.fa	87.8	4.4	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.43.fa	18.92	4.86	1-131567-2759-2698737-33630-2497438-27997-27998-27999
bin.14.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.49.fa	7.89	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.80.fa	0.39	0.39	1-131567-2759-2698737-33634-2696291-569578
bin.41.fa	0.9	0.45	1-131567-2759-554915-2605435-142796-33083-2058949-2058185
bin.47.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
