bin	completeness	contamination	ncbi_lng
bin.29.fa	2.52	0.0	1-131567-2759-2698737-33634-4762-4776-4777
bin.6.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.5.fa	18.18	2.6	1-131567-2759-2698737-33630-5878-431838-6020-31277-37093-291294
bin.18.fa	92.48	1.13	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.25.fa	10.84	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.3.fa	7.23	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-704141-64705
bin.1.fa	94.36	1.5	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.30.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.11.fa	18.07	7.23	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.33.fa	91.0	58.6	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
