Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Bacteria (UID203)	5449	104	58	42.55	11.70	0.00	29852520	0	2748	2748	13535	13535	10863	10863	63939	63939	48.4	1.39	77.17	4	45537	47	37	9	11	0	0
bin.10	k__Bacteria (UID1452)	924	161	108	54.10	1.85	100.00	2673519	0	558	558	5010	5010	4791	4791	17659	17659	61.8	2.12	91.35	11	3042	59	100	2	0	0	0
bin.11	k__Bacteria (UID203)	5449	103	57	97.93	153.49	10.66	11526139	0	2397	2397	5065	5065	4808	4808	23629	23629	69.9	2.10	87.89	11	12761	3	36	27	24	8	5
bin.12	k__Bacteria (UID203)	5449	104	58	98.28	32.13	22.79	11362050	0	1841	1841	7201	7201	6171	6171	56170	56170	65.1	2.45	85.04	11	12922	1	58	22	12	8	3
bin.13	k__Bacteria (UID203)	5449	103	57	47.53	1.75	0.00	1321338	0	283	283	4985	4985	4669	4669	17449	17449	55.8	1.39	93.37	11	1469	70	32	1	0	0	0
bin.14	o__Actinomycetales (UID1697)	387	330	193	84.92	10.84	24.32	3281481	0	554	554	6826	6826	5923	5923	24600	24600	72.5	1.93	92.61	11	3672	55	238	37	0	0	0
bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	326021	0	7	7	75784	75784	46574	46574	149882	149882	58.1	1.23	86.04	11	301	56	0	0	0	0	0
bin.16	o__Rhizobiales (UID3654)	92	481	319	94.84	218.02	54.01	16045860	0	2518	2518	7657	7657	6372	6372	67584	67584	71.5	2.00	88.25	11	17126	48	44	95	102	127	65
bin.17	root (UID1)	5656	56	24	0.00	0.00	0.00	208207	0	15	15	15690	15690	13880	13880	26011	26011	46.7	0.97	54.18	11	306	56	0	0	0	0	0
bin.18	k__Bacteria (UID203)	5449	104	58	32.88	12.63	2.44	21493487	0	1240	1240	26143	26143	17333	17333	145571	145571	52.1	1.34	83.89	4	30459	54	27	14	9	0	0
