TranscriptID	Function	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	change
XANPAGTX0501_000011-T1	RNA interference	8.46809526681028e-18	1.77430562147034e-16	-0.755493809502615	0.0879190336077168	7.17831535802896	0.19582852397012	0.00088514641233829	0.053489692207835	0.0435298936136229	0.053489692207835	low_logFC
XANPAGTX0501_000015-T1	MAPK signaling pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000016-T1	Transcription factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000017-T1	Transcription factors	0.00103596590601402	0.00287593081969772	-0.275219582692007	0.0838937631767569	6.92387957004424	0.036610818140159	0.00101032193356438	0.0172219096316819	0.048499517859242	0.048499517859242	low_logFC
XANPAGTX0501_000021-T1	RNA binding proteins	0.000158822910680724	0.000530618585440767	0.345091740840233	0.0913701998454594	8.66662539656604	0.0638084268749172	0.000193155464718987	0.034951707197886	0.0585343182469719	0.0585343182469719	low_logFC
XANPAGTX0501_000023-T1	RNA interference	0.00963554243445583	0.0206568916476123	-0.559578160259448	0.216166749011516	5.74761678439965	0.395635748084724	0.00345989405666884	0.325247862121069	0.111767637562995	0.325247862121069	low_logFC
XANPAGTX0501_000034-T1	Transporters	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000035-T1	Transporters	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000038-T1	Protein ubiquitination	0.0186616198596192	0.0369404036090157	0.350346853761253	0.148942920066894	6.04867901860156	0.181316491522956	0.00269422491899834	0.153358694438341	0.0897940295804108	0.153358694438341	low_logFC
XANPAGTX0501_000047-T1	Acetyl-CoA production and metabolism	2.12239606711131e-06	1.05078949287878e-05	0.782068068333722	0.164944319569967	7.85756697934448	0.33821025203835	0.000451810994202484	0.190932748520055	0.0433229895846882	0.190932748520055	low_logFC
XANPAGTX0501_000048-T1	Transporters	3.78042091730673e-08	2.49837974155172e-07	-0.943808416089407	0.171576140423794	8.55812990436244	0.423478467157704	0.000203148732413664	0.206880571281242	0.0556828848453433	0.206880571281242	low_logFC
XANPAGTX0501_000054-T1	Transcription factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000058-T1	Cell surface and cell wall proteins	8.48341576774449e-17	1.59135696116221e-15	-1.16544060343826	0.140004769806131	5.51706197666154	0.424668712962757	0.00484352442591462	0.0816796271662685	0.133041732676411	0.133041732676411	lichen
XANPAGTX0501_000078-T1	Ribosomal genes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000089-T1	Cell division, proliferation and growth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000090-T1	Protein ubiquitination	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000103-T1	RNA binding proteins	0.0182690076811882	0.0362280946963563	0.19713379698554	0.0835270107625648	7.80478961346979	0.0570884189763192	0.000424483978310412	0.0486534246938841	0.0427463794858601	0.0486534246938841	low_logFC
XANPAGTX0501_000115-T1	Cell division, proliferation and growth	0.00293544121717021	0.00730570925967619	-0.24595414038072	0.0826898146335471	7.0234320703267	0.0615790546515222	0.000954267345128222	0.0471447502618579	0.0461136561201147	0.0471447502618579	low_logFC
XANPAGTX0501_000117-T1	MAPK signaling pathway	0.00375786295553965	0.00902488497432262	-0.230453892599276	0.0795271023143163	7.92494538163878	0.0251047537645494	0.000360744220327415	0.0118369885351333	0.0441292640732034	0.0441292640732034	low_logFC
XANPAGTX0501_000122-T1	Protein ubiquitination	0.015032395640761	0.0306583569496144	-0.193319386470509	0.0795030322998243	7.23582057947704	0.0365793896312727	0.00168785993657849	0.0265094552649355	0.0427752213583473	0.0427752213583473	low_logFC
XANPAGTX0501_000122-T2	Protein ubiquitination	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000141-T1	Transporters	0.00318301024270389	0.00782366727428655	-0.474119911402813	0.160746517878685	6.04174528923373	0.231749690811615	0.00265668562745756	0.179110430719611	0.0902396324350795	0.179110430719611	low_logFC
XANPAGTX0501_000142-T1	Transporters	5.52651182513576e-13	6.95038661587006e-12	-1.1414490661947	0.158277797679488	6.88276903477895	0.497264125279069	0.00125270405519493	0.174974181896767	0.0497048346146114	0.174974181896767	lichen
XANPAGTX0501_000150-T1	Cell division, proliferation and growth	0.0254516497840094	0.0483642318363149	-0.26422393758495	0.11824862802761	6.56922126680286	0.112387975451798	0.00164334341079489	0.0967179861824484	0.0609915355768174	0.0967179861824484	low_logFC
XANPAGTX0501_000151-T1	MAPK signaling pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000160-T1	Transporters	0.00564746554308608	0.0128857827935013	-0.264280032086992	0.0954914735769188	7.72340729158954	0.0794008992340266	0.000431906732439956	0.0637128791738304	0.0420319767585698	0.0637128791738304	low_logFC
XANPAGTX0501_000161-T1	Cell division, proliferation and growth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000172-T1	Acetyl-CoA production and metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000175-T1	Transcription factors	2.6937263027664e-44	3.0839000610537e-42	-1.42510476160789	0.102077070191941	8.06275092003212	0.580911667349919	0.000376283171450383	0.0729211156157902	0.0460045774720071	0.0729211156157902	lichen
XANPAGTX0501_000183-T1	Transcription factors	1.1237469737956e-09	9.31284339104489e-09	-0.804401621397762	0.132069133012997	7.85871113439005	0.280877570251334	0.000431002285699381	0.122266246077754	0.0433360987149809	0.122266246077754	low_logFC
XANPAGTX0501_000188-T1	Ribosomal genes	0.000515027203013391	0.0015362280659317	0.313713284176529	0.0903339629323974	8.61850615449242	0.0707778513088021	0.000170434829353609	0.0475878617610773	0.0572325262482546	0.0572325262482546	low_logFC
XANPAGTX0501_000200-T1	Transporters	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000203-T1	Cell wall remodeling	0.000172433928279027	0.000570413694828298	-0.587050418072982	0.156283614482277	7.42973220559102	0.252259449318551	0.000663235011637212	0.171150968566003	0.0413344283879041	0.171150968566003	low_logFC
XANPAGTX0501_000205-T1	Ribosomal genes	0.0208901482657793	0.0407420260785879	0.209873283521523	0.0908556519234826	8.54229771176657	0.0670599832254712	0.000184654615430599	0.0578832383236718	0.0552914641812924	0.0578832383236718	low_logFC
XANPAGTX0501_000213-T1	Transporters	2.06086424858319e-14	2.98771507578543e-13	0.861352969468293	0.112642682487174	8.37281605154115	0.27246436809636	0.00026182224584163	0.088994325314603	0.051466689847396	0.088994325314603	low_logFC
XANPAGTX0501_000236-T1	Transcription factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000245-T1	Transcription factors	1.37070971325048e-08	9.72013497167723e-08	0.726406071794397	0.127955792362149	7.21688989646386	0.243626314317173	0.000795910611352347	0.114377458319723	0.0430093616681309	0.114377458319723	low_logFC
XANPAGTX0501_000254-T1	Cell division, proliferation and growth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XANPAGTX0501_000256-T1	Stress response genes	8.03008317502286e-06	3.54377288709507e-05	0.346014199218743	0.0775055387812329	7.36764313545236	0.0585193887173242	0.000666419949849036	0.0288274180093151	0.0415904815163895	0.0415904815163895	low_logFC
