genome,score
GTX0493.bin.23.fa,68.07740971809709
GTX0494.bin.15.fa,66.78934427237405
coassembly.bin.46.fa,63.810752606180245
GTX0466.bin.29.fa,61.62390991390829
GTX0468.bin.53.fa,67.89509579028766
coassembly.bin.321.fa,63.16270651483366
GTX0465.bin.1.fa,69.76471199630708
GTX0466.bin.21.fa,56.7137085337726
GTX0466.merged.0.fa,69.54709193028611
coassembly.bin.1.fa,57.98996986140096
coassembly.bin.195.fa,70.08385061748568
GTX0486_487.bin.100.fa,98.1553373402876
coassembly.bin.10.fa,93.65364746426296
GTX0465.bin.21.fa,93.23499792576531
GTX0466.bin.35.fa,91.00337617867001
GTX0468.bin.24.fa,98.12815504758336
GTX0481.bin.18.fa,89.03867771145178
GTX0484.bin.40.fa,88.65155167752337
GTX0486_487.bin.46.fa,89.83398154526756
GTX0493.bin.28.fa,94.70124299136327
GTX0494.bin.19.fa,99.09310809926552
coassembly.bin.335.fa,81.8416619238094
GTX0466.bin.15.fa,102.47314675973027
coassembly.bin.142.fa,97.52477159359972
GTX0486_487.bin.12.fa,70.41327390670736
coassembly.bin.76.fa,79.49270399290458
GTX0481.bin.1.fa,88.92572913005326
coassembly.bin.378.fa,90.02717047118253
coassembly.bin.64.fa,60.87045753824064
coassembly.bin.376.fa,87.36704331354159
