Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	o__Sphingomonadales (UID3310)	26	569	293	82.72	52.58	36.34	4729704	0	804	804	6701	6701	5882	5882	42427	42427	70.8	2.07	91.80	11	5178	117	241	160	42	8	1
bin.10	k__Archaea (UID2)	207	145	103	14.54	3.48	40.00	1050500	0	315	315	3196	3196	3334	3334	11074	11074	24.8	2.31	75.32	11	1461	119	21	5	0	0	0
bin.11	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	226922	0	52	52	4459	4459	4363	4363	8183	8183	52.9	1.10	92.82	11	270	96	8	0	0	0	0
bin.12	p__Bacteroidetes (UID2591)	364	303	203	94.36	1.72	50.00	4263357	0	149	149	44902	44902	28613	28613	194483	194483	42.1	1.31	85.44	11	3886	26	273	4	0	0	0
bin.13	k__Bacteria (UID203)	5449	104	58	0.47	0.00	0.00	529273	0	96	96	6043	6043	5513	5513	19177	19177	67.6	1.84	87.93	11	763	101	3	0	0	0	0
bin.14	p__Bacteroidetes (UID2591)	364	301	202	1.49	0.00	0.00	458626	0	7	7	87581	87581	65518	65518	196789	196789	47.4	0.42	88.59	11	389	281	20	0	0	0	0
bin.15	k__Bacteria (UID203)	5449	104	58	49.68	16.23	0.00	27330910	0	110	110	508503	508503	248462	248462	2020088	2020088	51.2	1.03	83.93	4	34901	42	34	17	11	0	0
bin.16	k__Bacteria (UID203)	5449	104	58	52.23	11.36	87.50	5145515	0	1022	1022	5157	5157	5034	5034	54445	54445	69.7	2.85	86.72	11	5813	67	29	8	0	0	0
bin.17	p__Bacteroidetes (UID2591)	364	302	203	73.87	0.84	22.22	3401273	0	602	602	6129	6129	5649	5649	21039	21039	45.7	1.45	89.56	11	3372	87	206	9	0	0	0
bin.18	k__Bacteria (UID203)	5449	103	57	6.14	0.00	0.00	826858	0	146	146	6595	6595	5663	5663	41821	41821	67.3	2.00	89.96	11	995	97	6	0	0	0	0
