Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	o__Sphingomonadales (UID3310)	26	569	293	44.54	3.44	20.00	2535419	0	451	451	5792	5792	5621	5621	59885	59885	66.9	2.28	88.49	11	2812	303	250	14	2	0	0
bin.10	o__Sphingomonadales (UID3310)	26	569	293	82.71	4.90	30.56	3558175	0	523	523	8270	8270	6803	6803	44916	44916	67.8	2.20	89.82	11	3720	92	443	33	1	0	0
bin.11	k__Bacteria (UID203)	5449	104	58	33.67	1.72	0.00	1674785	0	448	448	3740	3740	3738	3738	13420	13420	70.3	2.29	89.89	11	1896	74	29	1	0	0	0
bin.12	k__Bacteria (UID203)	5449	104	58	36.21	0.00	0.00	3794079	0	127	127	65767	65767	29874	29874	436104	436104	63.7	2.58	87.38	11	3968	79	25	0	0	0	0
bin.13	k__Bacteria (UID203)	5449	104	58	100.00	100.00	39.25	6797218	0	255	255	52518	52518	26655	26655	325710	325710	71.4	3.39	89.48	11	6657	0	3	98	3	0	0
bin.14	root (UID1)	5656	56	24	0.00	0.00	0.00	507806	0	62	62	11432	11432	8190	8190	26005	26005	66.1	1.64	80.30	11	593	56	0	0	0	0	0
bin.15	k__Archaea (UID2)	207	149	107	35.00	8.87	4.17	58857211	0	3552	3552	23916	23916	16570	16570	159958	159958	50.3	1.40	86.46	4	98344	91	45	9	3	1	0
bin.16	root (UID1)	5656	56	24	0.00	0.00	0.00	243836	0	3	3	103282	103282	81278	81278	103986	103986	56.4	0.73	86.13	11	237	56	0	0	0	0	0
bin.17	o__Sphingomonadales (UID3310)	26	569	293	61.39	3.00	73.33	2348915	0	374	374	7516	7516	6280	6280	43706	43706	69.4	2.63	90.15	11	2563	214	340	15	0	0	0
bin.18	root (UID1)	5656	56	24	0.00	0.00	0.00	555432	0	93	93	6335	6335	5972	5972	28847	28847	38.5	2.41	9.55	11	270	56	0	0	0	0	0
bin.19	k__Bacteria (UID203)	5449	104	58	36.80	13.63	0.00	25611674	0	506	506	96876	96876	50615	50615	485276	485276	51.9	1.29	83.05	4	36714	48	29	17	10	0	0
bin.2	o__Rhizobiales (UID3654)	92	481	319	90.07	11.10	24.49	4834832	0	209	209	31438	31438	23133	23133	166946	166946	71.4	1.84	88.07	11	4635	80	356	43	2	0	0
bin.20	o__Rhodospirillales (UID3754)	63	336	201	60.82	0.00	0.00	2751706	0	18	18	274058	274058	152872	152872	598946	598946	66.7	0.91	93.60	11	2645	114	222	0	0	0	0
bin.21	o__Cytophagales (UID2936)	47	454	336	83.90	4.08	65.00	4460832	0	602	602	8977	8977	7410	7410	57266	57266	62.5	2.43	88.03	11	4337	92	344	17	1	0	0
bin.22	o__Sphingomonadales (UID3310)	26	569	293	96.82	20.01	21.50	3937827	0	159	159	52761	52761	24766	24766	206857	206857	70.3	1.48	90.54	11	3892	30	441	95	2	1	0
bin.23	root (UID1)	5656	56	24	0.00	0.00	0.00	260096	0	25	25	14994	14994	10403	10403	48093	48093	66.3	1.59	87.14	11	288	56	0	0	0	0	0
bin.24	k__Bacteria (UID203)	5449	104	58	29.31	0.00	0.00	1324169	0	323	323	4170	4170	4099	4099	10221	10221	61.9	2.12	91.46	11	1562	83	21	0	0	0	0
bin.25	root (UID1)	5656	56	24	0.52	0.00	0.00	808849	0	67	67	17528	17528	12072	12072	56157	56157	64.1	1.66	85.33	11	908	55	1	0	0	0	0
bin.26	k__Bacteria (UID203)	5449	104	58	9.28	0.00	0.00	687969	0	200	200	3385	3385	3439	3439	9486	9486	69.9	2.07	92.67	11	838	95	9	0	0	0	0
bin.27	k__Bacteria (UID3187)	2258	187	116	47.20	0.00	0.00	1709722	0	5	5	555136	555136	341944	341944	742265	742265	63.2	0.41	89.72	11	1421	97	90	0	0	0	0
bin.28	root (UID1)	5656	56	24	0.00	0.00	0.00	444680	0	113	113	4073	4073	3935	3935	7851	7851	51.2	0.89	91.13	11	500	56	0	0	0	0	0
bin.29	c__Alphaproteobacteria (UID3422)	26	529	308	88.96	5.04	16.00	2773356	0	190	190	24404	24404	14596	14596	75631	75631	73.0	2.09	91.75	11	2737	49	455	25	0	0	0
bin.3	k__Bacteria (UID3187)	2258	187	116	51.72	1.72	0.00	2027173	0	6	6	1264821	1264821	337862	337862	1264821	1264821	62.0	1.83	89.87	11	1693	92	93	2	0	0	0
bin.30	root (UID1)	5656	56	24	0.00	0.00	0.00	1839601	0	113	113	24600	24600	16279	16279	109000	109000	72.2	1.73	88.45	11	1920	56	0	0	0	0	0
bin.4	k__Bacteria (UID1453)	901	171	117	4.95	0.00	0.00	225233	0	26	26	11140	11140	8662	8662	27716	27716	36.8	1.83	49.33	11	232	150	21	0	0	0	0
bin.5	root (UID1)	5656	56	24	0.00	0.00	0.00	752324	0	111	111	7231	7231	6777	6777	19988	19988	50.5	1.10	79.04	4	1130	56	0	0	0	0	0
bin.6	k__Bacteria (UID203)	5449	104	58	19.44	3.45	100.00	1322055	0	297	297	4287	4287	4451	4451	34127	34127	67.2	2.15	88.27	11	1545	88	14	2	0	0	0
bin.7	k__Bacteria (UID203)	5449	104	58	13.79	5.17	33.33	787979	0	15	15	75386	75386	52531	52531	129892	129892	72.0	0.79	89.41	11	758	95	6	3	0	0	0
bin.8	k__Bacteria (UID203)	5449	104	58	47.92	3.45	0.00	5849826	0	1262	1262	4754	4754	4635	4635	31305	31305	69.3	3.37	86.27	11	6655	69	32	3	0	0	0
bin.9	o__Rhizobiales (UID3654)	92	481	319	76.62	2.49	50.00	5583363	0	379	379	24173	24173	14731	14731	82439	82439	70.6	2.49	87.12	11	5624	131	338	12	0	0	0
